n,layers,expected_f_n
1,[1],0.000000
2,"[1, 1]",0.000000
3,"[1, 2]",0.111111
4,"[1, 3]",0.145121
5,"[1, 1, 3]",0.152294
6,"[1, 1, 4]",0.177564
7,"[1, 2, 4]",0.191149
8,"[1, 2, 5]",0.206317
9,"[1, 2, 6]",0.213824
10,"[1, 3, 6]",0.220771
11,"[1, 3, 7]",0.227005
12,"[1, 3, 8]",0.229879
13,"[1, 1, 3, 8]",0.233769
14,"[1, 1, 4, 8]",0.237048
15,"[1, 1, 4, 9]",0.241677
16,"[1, 1, 4, 10]",0.244446
17,"[1, 2, 4, 10]",0.246954
18,"[1, 2, 4, 11]",0.249509
19,"[1, 2, 5, 11]",0.251966
20,"[1, 2, 5, 12]",0.254240
21,"[1, 2, 5, 13]",0.255575
22,"[1, 2, 6, 13]",0.257354
23,"[1, 2, 6, 14]",0.258685
24,"[1, 3, 6, 14]",0.260063
25,"[1, 3, 6, 15]",0.261360
26,"[1, 3, 7, 15]",0.262425
27,"[1, 3, 7, 16]",0.263673
28,"[1, 3, 7, 17]",0.264435
29,"[1, 3, 8, 17]",0.265233
30,"[1, 3, 8, 18]",0.266034
31,"[1, 1, 3, 8, 18]",0.266811
32,"[1, 1, 3, 8, 19]",0.267619
33,"[1, 1, 4, 8, 19]",0.268165
34,"[1, 1, 4, 8, 20]",0.268973
35,"[1, 1, 4, 9, 20]",0.269675
36,"[1, 1, 4, 9, 21]",0.270460
37,"[1, 1, 4, 9, 22]",0.270978
38,"[1, 1, 4, 10, 22]",0.271548
39,"[1, 1, 4, 10, 23]",0.272081
40,"[1, 2, 4, 10, 23]",0.272523
41,"[1, 2, 4, 10, 24]",0.273065
42,"[1, 2, 4, 11, 24]",0.273453
43,"[1, 2, 4, 11, 25]",0.273996
44,"[1, 2, 4, 11, 26]",0.274357
45,"[1, 2, 5, 11, 26]",0.274862
46,"[1, 2, 5, 11, 27]",0.275235
47,"[1, 2, 5, 12, 27]",0.275654
48,"[1, 2, 5, 12, 28]",0.276036
49,"[1, 2, 5, 12, 29]",0.276277
50,"[1, 2, 5, 13, 29]",0.276634
51,"[1, 2, 5, 13, 30]",0.276896
52,"[1, 2, 6, 13, 30]",0.277275
53,"[1, 2, 6, 13, 31]",0.277550
54,"[1, 2, 6, 14, 31]",0.277807
55,"[1, 2, 6, 14, 32]",0.278094
56,"[1, 3, 6, 14, 32]",0.278322
57,"[1, 3, 6, 14, 33]",0.278618
58,"[1, 3, 6, 14, 34]",0.278815
59,"[1, 3, 6, 15, 34]",0.279103
60,"[1, 3, 6, 15, 35]",0.279313
61,"[1, 3, 7, 15, 35]",0.279525
62,"[1, 3, 7, 15, 36]",0.279747
63,"[1, 3, 7, 16, 36]",0.279962
64,"[1, 3, 7, 16, 37]",0.280192
65,"[1, 3, 7, 16, 38]",0.280344
66,"[1, 3, 7, 17, 38]",0.280532
67,"[1, 3, 7, 17, 39]",0.280698
68,"[1, 3, 8, 17, 39]",0.280862
69,"[1, 3, 8, 17, 40]",0.281038
70,"[1, 3, 8, 18, 40]",0.281178
71,"[1, 3, 8, 18, 41]",0.281363
72,"[1, 3, 8, 18, 42]",0.281486
73,"[1, 1, 3, 8, 18, 42]",0.281670
74,"[1, 1, 3, 8, 18, 43]",0.281803
75,"[1, 1, 3, 8, 19, 43]",0.281969
76,"[1, 1, 3, 8, 19, 44]",0.282112
77,"[1, 1, 4, 8, 19, 44]",0.282210
78,"[1, 1, 4, 8, 19, 45]",0.282361
79,"[1, 1, 4, 8, 20, 45]",0.282488
80,"[1, 1, 4, 8, 20, 46]",0.282646
81,"[1, 1, 4, 8, 20, 47]",0.282755
82,"[1, 1, 4, 9, 20, 47]",0.282902
83,"[1, 1, 4, 9, 20, 48]",0.283019
84,"[1, 1, 4, 9, 21, 48]",0.283165
85,"[1, 1, 4, 9, 21, 49]",0.283288
86,"[1, 1, 4, 9, 22, 49]",0.283370
87,"[1, 1, 4, 9, 22, 50]",0.283501
88,"[1, 1, 4, 9, 22, 51]",0.283590
89,"[1, 1, 4, 10, 22, 51]",0.283715
90,"[1, 1, 4, 10, 22, 52]",0.283811
91,"[1, 1, 4, 10, 23, 52]",0.283914
92,"[1, 1, 4, 10, 23, 53]",0.284018
93,"[1, 2, 4, 10, 23, 53]",0.284090
94,"[1, 2, 4, 10, 23, 54]",0.284200
95,"[1, 2, 4, 10, 24, 54]",0.284279
96,"[1, 2, 4, 10, 24, 55]",0.284394
97,"[1, 2, 4, 10, 24, 56]",0.284475
98,"[1, 2, 4, 11, 24, 56]",0.284553
99,"[1, 2, 4, 11, 24, 57]",0.284641
100,"[1, 2, 4, 11, 25, 57]",0.284736
101,"[1, 2, 4, 11, 25, 58]",0.284828
102,"[1, 2, 4, 11, 25, 59]",0.284891
103,"[1, 2, 4, 11, 26, 59]",0.284978
104,"[1, 2, 4, 11, 26, 60]",0.285046
105,"[1, 2, 5, 11, 26, 60]",0.285148
106,"[1, 2, 5, 11, 26, 61]",0.285222
107,"[1, 2, 5, 11, 27, 61]",0.285289
108,"[1, 2, 5, 11, 27, 62]",0.285368
109,"[1, 2, 5, 12, 27, 62]",0.285434
110,"[1, 2, 5, 12, 27, 63]",0.285518
111,"[1, 2, 5, 12, 27, 64]",0.285577
112,"[1, 2, 5, 12, 28, 64]",0.285657
113,"[1, 2, 5, 12, 28, 65]",0.285720
114,"[1, 2, 5, 12, 29, 65]",0.285766
115,"[1, 2, 5, 12, 29, 66]",0.285834
116,"[1, 2, 5, 13, 29, 66]",0.285892
117,"[1, 2, 5, 13, 29, 67]",0.285965
118,"[1, 2, 5, 13, 29, 68]",0.286015
119,"[1, 2, 5, 13, 30, 68]",0.286074
120,"[1, 2, 5, 13, 30, 69]",0.286129
121,"[1, 2, 6, 13, 30, 69]",0.286201
122,"[1, 2, 6, 13, 30, 70]",0.286261
123,"[1, 2, 6, 13, 31, 70]",0.286306
124,"[1, 2, 6, 13, 31, 71]",0.286369
125,"[1, 2, 6, 13, 31, 72]",0.286413
126,"[1, 2, 6, 14, 31, 72]",0.286472
127,"[1, 2, 6, 14, 31, 73]",0.286519
128,"[1, 2, 6, 14, 32, 73]",0.286576
129,"[1, 2, 6, 14, 32, 74]",0.286628
130,"[1, 3, 6, 14, 32, 74]",0.286667
131,"[1, 3, 6, 14, 32, 75]",0.286723
132,"[1, 3, 6, 14, 33, 75]",0.286768
133,"[1, 3, 6, 14, 33, 76]",0.286827
134,"[1, 3, 6, 14, 33, 77]",0.286868
135,"[1, 3, 6, 14, 34, 77]",0.286910
136,"[1, 3, 6, 14, 34, 78]",0.286955
137,"[1, 3, 6, 15, 34, 78]",0.287007
138,"[1, 3, 6, 15, 34, 79]",0.287056
139,"[1, 3, 6, 15, 34, 80]",0.287089
140,"[1, 3, 6, 15, 35, 80]",0.287140
141,"[1, 3, 6, 15, 35, 81]",0.287177
142,"[1, 3, 7, 15, 35, 81]",0.287221
143,"[1, 3, 7, 15, 35, 82]",0.287262
144,"[1, 3, 7, 15, 36, 82]",0.287303
